date,portfolio_value,benchmark_value,portfolio_return_pct,benchmark_return_pct,alpha_pp
2026-07-10,39774.47,39991.92,-0.5638,-0.0202,-0.5436
2026-07-10,39774.47,39991.92,-0.5638,-0.0202,-0.5436
2026-07-13,39341.04,40073.26,-1.6474,0.1831,-1.8305
2026-07-14,39371.16,39997.54,-1.5721,-0.0061,-1.5660
2026-07-15,39122.88,39804.51,-2.1928,-0.4887,-1.7041
2026-07-16,38977.43,39853.24,-2.5564,-0.3669,-2.1895
2026-07-17,38625.27,39469.04,-3.4368,-1.3274,-2.1094
2026-07-20,38460.65,39609.60,-3.8484,-0.9760,-2.8724
2026-07-21,39018.11,39829.62,-2.4547,-0.4259,-2.0288
2026-07-22,39411.85,39907.59,-1.4704,-0.2310,-1.2393
2026-07-23,39126.55,39472.79,-2.1836,-1.3180,-0.8656
2026-07-24,39445.85,39648.96,-1.3854,-0.8776,-0.5078
2026-07-24,39445.85,39648.96,-1.3854,-0.8776,-0.5078
2026-07-27,39459.39,39506.52,-1.3515,-1.2337,-0.1178
2026-07-28,39332.66,39703.31,-1.6684,-0.7417,-0.9266
2026-07-29,39047.89,39405.32,-2.3803,-1.4867,-0.8936
2026-07-30,39625.60,39016.25,-0.9360,-2.4594,1.5234
2026-07-31,39844.78,39231.96,-0.3881,-1.9201,1.5320
2026-08-03,39890.22,40083.75,-0.2745,0.2094,-0.4838
2026-08-04,40586.77,40686.47,1.4669,1.7162,-0.2493
2026-08-05,41063.06,40859.64,2.6576,2.1491,0.5085
2026-08-06,40675.07,40719.83,1.6877,1.7996,-0.1119
2026-08-07,40758.46,40855.89,1.8961,2.1397,-0.2436
2026-08-11,40732.76,40726.58,1.8319,1.8164,0.0155
2026-08-12,41107.75,40724.70,2.7694,1.8118,0.9576
2026-08-13,40990.00,40976.96,2.4750,2.4424,0.0326
2026-08-14,40854.38,40824.03,2.1359,2.0601,0.0759
2026-08-17,41015.88,40749.82,2.5397,1.8745,0.6652
2026-08-20,40352.50,40036.90,0.8813,0.0923,0.7890
2026-08-21,40729.54,40051.14,1.8238,0.1279,1.6960
2026-08-24,40669.06,39897.28,1.6726,-0.2568,1.9294
2026-08-25,40934.54,39978.80,2.3364,-0.0530,2.3893
2026-08-26,40900.16,40114.49,2.2504,0.2862,1.9642
2026-08-27,40852.11,40406.10,2.1303,1.0153,1.1150
2026-08-28,40845.05,40702.21,2.1126,1.7555,0.3571
2026-09-01,40241.64,40219.44,0.6041,0.5486,0.0555
2026-09-02,40131.67,40430.47,0.3292,1.0762,-0.7470
2026-09-03,40526.41,40695.84,1.3160,1.7396,-0.4236
2026-09-04,40566.92,40531.67,1.4173,1.3292,0.0881
2026-09-07,40503.54,40434.21,1.2589,1.0855,0.1733
2026-09-08,40620.64,40398.61,1.5516,0.9965,0.5551
2026-09-09,40020.10,40087.50,0.0503,0.2188,-0.1685
